img_path,dimensions
../data/train_images/d67b041b85b44bdde7dc852dcbc70033_2.jpeg,"(128, 168, 3)"
../data/train_images/18a3bb8a5a0e5449d25195eb10804e39_2.jpeg,"(2168, 496, 3)"
../data/train_images/cd8d74b77f1fc44b5fb034049913af43_2.jpeg,"(504, 1189, 3)"
../data/train_images/35d511cc9aa867856fadbe6ebf464d78_2.jpeg,"(1344, 208, 3)"
../data/train_images/c115a53d035363f2cc49ed0b98934b9a_2.jpeg,"(1744, 574, 3)"
../data/train_images/ebbe1801ed68a97e435b960a9582a39e_2.jpeg,"(1648, 1536, 3)"
../data/train_images/659605aeb955654bfd576bea20447b06_2.jpeg,"(824, 344, 3)"
../data/train_images/6966c2b9fa1ae59141ab221b32d878cf_2.jpeg,"(1768, 464, 3)"
../data/train_images/42ec055dc827cb138393c9ed767f9a21_2.jpeg,"(752, 296, 3)"
../data/train_images/28dedadd36e56681c6bdd7fe04297ac8_2.jpeg,"(1704, 1032, 3)"
../data/train_images/15740c3d11b760c261e2afb76df75501_2.jpeg,"(1144, 288, 3)"
../data/train_images/11a621fdaec9f33cf09edaf06d0edb1f_2.jpeg,"(480, 1336, 3)"
../data/train_images/09f37474deb25ad463c1d17e29054785_2.jpeg,"(352, 880, 3)"
../data/train_images/eecda454c4630e9571a784929938c3f5_2.jpeg,"(1080, 544, 3)"
../data/train_images/0c563af5c4dbd5855a884441d57c8656_2.jpeg,"(1512, 1376, 3)"
../data/train_images/f162eb4058fba118b9d6923843b93c73_2.jpeg,"(1072, 880, 3)"
../data/train_images/76541217a60105571466b759358ab8df_2.jpeg,"(1720, 576, 3)"
../data/train_images/c8eb53f6ee052f08e7a4684e569cbc6a_2.jpeg,"(1632, 520, 3)"
../data/train_images/1307e25950ec553c3d02121252e6a80f_2.jpeg,"(1200, 864, 3)"
../data/train_images/e15826e3b403aeca10aa2a512d3a9d60_2.jpeg,"(1448, 552, 3)"
../data/train_images/feb0f0ab5eb812769d3a069b7be9dcf4_2.jpeg,"(832, 896, 3)"
../data/train_images/871e9ccf18d457762de141db98a043e7_2.jpeg,"(1968, 303, 3)"
../data/train_images/3a025fffbcd1734f4472d6cc8fbb7d0c_2.jpeg,"(1544, 656, 3)"
../data/train_images/3ec4b92b80df9b4dfa40abb1eee33f80_2.jpeg,"(1456, 1128, 3)"
../data/train_images/ab3c5351479e3e58b4feef80e6f416f3_2.jpeg,"(1128, 536, 3)"
../data/train_images/321320123f2c3f9cf54d408e903abdf9_2.jpeg,"(304, 288, 3)"
../data/train_images/7ccd39e3586ef393247e71af2374dac2_2.jpeg,"(1192, 688, 3)"
../data/train_images/75d6fbb7553743b1b4231df1f327de28_2.jpeg,"(2024, 640, 3)"
../data/train_images/35978c997f83d969e02f26305f3983ec_2.jpeg,"(1616, 824, 3)"
../data/train_images/86a2e973602ec382660c072fa42ca670_2.jpeg,"(1736, 560, 3)"
